generic_name,category
0.9 % SODIUM CHLORIDE,"Nutrition, Fluids, Electrolytes & Supplies"
AA 3.31 %/D9.8W/FAT/E-LYTES 10,"Nutrition, Fluids, Electrolytes & Supplies"
AA 4.25 %/CALCIUM/LYTES/D25W,"Nutrition, Fluids, Electrolytes & Supplies"
AA 4.25 %/CALCIUM/LYTES/D5W,"Nutrition, Fluids, Electrolytes & Supplies"
AA 5 %/CALCIUM/LYTES/DEXT 20 %,"Nutrition, Fluids, Electrolytes & Supplies"
AA 5%/D15W/ELECTROLYTES,"Nutrition, Fluids, Electrolytes & Supplies"
ABACAVIR SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ABACAVIR SULFATE/LAMIVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ABALOPARATIDE,"Endocrine, Metabolic & Hormonal"
ABATACEPT,Oncology & Immunology
ABATACEPT/MALTOSE,Oncology & Immunology
ABEMACICLIB,Oncology & Immunology
ABIRATERONE ACETATE,Oncology & Immunology
ABOBOTULINUMTOXINA,"Nutrition, Fluids, Electrolytes & Supplies"
ACALABRUTINIB,Oncology & Immunology
ACAMPROSATE CALCIUM,"Neurology, Psychiatry & Pain"
ACARBOSE,"Endocrine, Metabolic & Hormonal"
ACEBUTOLOL HCL,Cardiovascular & Blood
ACETAMINOPHEN WITH CODEINE,"Neurology, Psychiatry & Pain"
ACETAMINOPHEN/CAFF/DIHYDROCOD,"Nutrition, Fluids, Electrolytes & Supplies"
ACETAZOLAMIDE,"Neurology, Psychiatry & Pain"
ACETAZOLAMIDE SODIUM,"Neurology, Psychiatry & Pain"
ACETIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
ACETIC ACID/ALUMINUM ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
ACETOHYDROXAMIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
ACETYLCYSTEINE,Respiratory & Allergy
ACITRETIN,"Nutrition, Fluids, Electrolytes & Supplies"
ACLIDINIUM BROMIDE,Respiratory & Allergy
ACYCLOVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ACYCLOVIR SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ACYCLOVIR/HYDROCORTISONE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ADALIMUMAB,Oncology & Immunology
ADAPALENE,Dermatology (Topical)
ADAPALENE/BENZOYL PEROXIDE,Dermatology (Topical)
ADEFOVIR DIPIVOXIL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ADO-TRASTUZUMAB EMTANSINE,Oncology & Immunology
AFATINIB DIMALEATE,Oncology & Immunology
AFLIBERCEPT,Ophthalmic & Otic
AGALSIDASE BETA,"Endocrine, Metabolic & Hormonal"
ALBENDAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ALBIGLUTIDE,"Endocrine, Metabolic & Hormonal"
ALBUMIN HUMAN,"Nutrition, Fluids, Electrolytes & Supplies"
ALBUTEROL SULFATE,Respiratory & Allergy
ALCAFTADINE,Ophthalmic & Otic
ALCLOMETASONE DIPROPIONATE,Dermatology (Topical)
